2022-02-08 09:41:16,935 | INFO | New cart added
2022-02-08 09:41:16,937 | INFO | New product added
2022-02-08 09:41:17,146 | INFO | New user added
2022-02-08 09:41:17,147 | INFO | New cart added
2022-02-08 09:41:17,149 | INFO | New product added
2022-02-08 09:41:17,359 | INFO | New user added
2022-02-08 09:41:17,361 | INFO | New cart added
2022-02-08 09:41:17,362 | INFO | New product added
2022-02-08 09:41:17,569 | INFO | New user added
2022-02-08 09:41:17,572 | INFO | New cart added
2022-02-08 09:41:17,574 | INFO | New product added
2022-02-08 09:41:17,783 | INFO | New user added
2022-02-08 09:41:17,785 | INFO | New cart added
2022-02-08 09:41:17,786 | INFO | New product added
2022-02-08 09:41:17,995 | INFO | New user added
2022-02-08 09:41:17,997 | INFO | New cart added
2022-02-08 09:41:17,998 | INFO | New product added
2022-02-08 09:41:18,205 | INFO | New user added
2022-02-08 09:41:18,207 | INFO | New cart added
2022-02-08 09:41:18,208 | INFO | New product added
2022-02-08 09:41:18,416 | INFO | New user added
2022-02-08 09:41:18,419 | INFO | New cart added
2022-02-08 09:41:18,420 | INFO | New product added
2022-02-08 09:41:18,627 | INFO | New user added
2022-02-08 09:41:18,630 | INFO | New cart added
2022-02-08 09:41:18,631 | INFO | New product added
2022-02-08 09:41:18,838 | INFO | New user added
2022-02-08 09:41:18,840 | INFO | New cart added
2022-02-08 09:41:18,841 | INFO | New product added
2022-02-08 09:42:16,942 | INFO | Logger start.
2022-02-08 09:42:16,989 | ERROR | [Errno 48] Address already in use
2022-02-08 09:42:54,021 | INFO | Logger start.
2022-02-08 09:42:54,084 | ERROR | [Errno 48] Address already in use
2022-02-08 09:44:11,492 | INFO | Logger start.
2022-02-08 09:44:11,541 | ERROR | [Errno 48] Address already in use
2022-02-08 09:45:11,887 | INFO | Logger start.
2022-02-08 09:45:11,938 | ERROR | [Errno 48] Address already in use
2022-02-08 09:47:26,838 | INFO | Logger start.
2022-02-08 09:50:06,225 | INFO | Logger start.
2022-02-08 09:50:36,111 | INFO | Logger start.
2022-02-08 09:50:36,157 | ERROR | [Errno 48] Address already in use
2022-02-08 09:56:45,692 | INFO | Logger start.
2022-02-08 09:56:46,360 | INFO | Logger start.
2022-02-08 09:57:14,586 | INFO | user hernandezryan@example.com has login.
2022-02-08 13:33:02,665 | INFO | Logger start.
2022-02-08 13:33:02,716 | ERROR | [Errno 48] Address already in use
2022-02-08 13:34:42,205 | INFO | Logger start.
2022-02-08 13:34:42,259 | ERROR | [Errno 48] Address already in use
2022-02-08 13:35:08,530 | INFO | Logger start.
2022-02-08 13:35:08,956 | INFO | Logger start.
2022-02-08 13:35:55,327 | INFO | app start
2022-02-08 13:35:55,399 | INFO | app start
2022-02-08 13:36:32,975 | INFO | Logger start.
2022-02-08 13:36:33,400 | INFO | Logger start.
2022-02-08 13:37:23,659 | INFO | app start
2022-02-08 13:37:23,729 | INFO | app start
2022-02-08 13:37:28,349 | INFO | Logger start.
2022-02-08 13:37:28,784 | INFO | Logger start.
2022-02-08 13:37:36,985 | INFO | user hernandezryan@example.com has login.
2022-02-08 13:45:24,979 | INFO | app start
2022-02-08 13:45:25,053 | INFO | app start
